Time,Country Name,Country_Code,Female population 00-04 [SP.POP.0004.FE],Female population 10-14 [SP.POP.1014.FE],Female population 20-24 [SP.POP.2024.FE],Male population 75-79 [SP.POP.7579.MA],Male population 65-69 [SP.POP.6569.MA],Male population 55-59 [SP.POP.5559.MA],Male population 45-49 [SP.POP.4549.MA],Male population 35-39 [SP.POP.3539.MA],Male population 25-29 [SP.POP.2529.MA],Male population 15-19 [SP.POP.1519.MA],Male population 05-09 [SP.POP.0509.MA],Female population 80+ [SP.POP.80UP.FE],Male population 00-04 [SP.POP.0004.MA],Male population 10-14 [SP.POP.1014.MA],Male population 20-24 [SP.POP.2024.MA],Male population 30-34 [SP.POP.3034.MA],Male population 40-44 [SP.POP.4044.MA],Male population 50-54 [SP.POP.5054.MA],Male population 60-64 [SP.POP.6064.MA],Male population 70-74 [SP.POP.7074.MA],Male population 80+ [SP.POP.80UP.MA],Female population 05-09 [SP.POP.0509.FE],Female population 15-19 [SP.POP.1519.FE],Female population 25-29 [SP.POP.2529.FE],Female population 35-39 [SP.POP.3539.FE],Female population 45-49 [SP.POP.4549.FE],Female population 75-79 [SP.POP.7579.FE],Female population 65-69 [SP.POP.6569.FE],Female population 55-59 [SP.POP.5559.FE],Female population 70-74 [SP.POP.7074.FE],Female population 60-64 [SP.POP.6064.FE],Female population 50-54 [SP.POP.5054.FE],Female population 40-44 [SP.POP.4044.FE],Female population 30-34 [SP.POP.3034.FE]
2015,New Zealand,NZL,152636,146321,161996,55054,114350,140978,148437,127177,140551,160704,161608,97063,160729,153647,165160,134884,152386,159923,122544,80644,67176,153708,152189,147830,139771,161769,62816,119546,149872,86341,129177,172790,169666,146260
2015,Afghanistan,AFG,2411754,2173593,1465672,56811,174910,329412,544017,884475,1292203,1972036,2510080,43481,2538496,2298216,1585990,1077744,692656,427606,248096,107690,33266,2393193,1861048,1168003,788488,496113,67306,201471,316760,118175,248451,395540,619577,984233
2015,Antigua and Barbuda,ATG,3621,3807,4036,560,938,2199,3783,2512,3216,3998,3654,947,3659,3813,3729,3020,3150,2752,1616,763,527,3646,3928,3599,2791,4400,775,1013,2372,1055,1678,3168,3773,3320
2015,Armenia,ARM,100680,75303,136722,35465,41542,97807,76677,93540,131715,89961,97338,57746,106564,83397,120499,120305,77935,105811,71279,20388,29288,91491,88839,151192,108528,93998,57198,54285,121985,30785,95108,129039,92515,132787
2015,Austria,AUT,198741,205387,265558,139788,207398,297817,361353,270354,288329,237177,205379,284489,209554,212629,281464,296193,298653,356743,224933,202446,152169,195619,228356,272845,275581,357769,176450,228028,295806,229716,240952,340575,313955,286163
2015,Bahrain,BHR,52810,43136,42825,2812,8285,31676,60471,88492,119579,49333,51301,2179,55918,44039,77600,119221,82796,44246,11361,4432,2045,48557,40038,53020,44998,33869,3431,5521,18006,4498,8755,27275,39479,55233
2015,Bangladesh,BGD,7502567,8032211,7516521,734007,1453978,2595981,4516549,5827175,7164521,8242009,7995663,762973,7828777,8376850,7711417,6617340,4954451,3712272,1674985,1114388,756602,7672278,7878717,7298589,6036287,4453733,704810,1401387,2434882,1079064,1552542,3573698,4958638,6859780
2015,Barbados,BRB,8572,9279,9163,3223,6173,9089,9402,9121,8780,9315,9529,6163,8788,9824,9058,9233,9716,9725,7492,4250,3458,9049,9074,9172,9714,10292,4414,7158,10369,5417,8589,11068,10609,9937
2015,Albania,ALB,89076,94096,131168,35462,58728,94635,88720,69293,120122,131867,80499,41381,95941,101741,140180,84095,80500,99434,76854,47541,27482,74477,125392,110111,84375,97198,39844,59059,96326,48652,78349,104896,91775,89895
2015,Algeria,DZA,2256184,1433658,1768645,216160,399302,733415,1042856,1524171,1891312,1534232,1937650,253907,2333629,1479789,1816269,1797221,1227193,889760,622420,288881,223344,1879403,1475966,1867299,1522019,1053861,254082,399627,712528,320110,595074,893458,1237818,1785276
