Country_Name,Country_Code,Total population 00-04,Total population 05-09,Total population 10-14,Total population 15-19,Total population 20-24,Total population 25-29,Total population 30-34,Total population 35-39,Total population 40-44,Total population 45-49,Total population 50-54,Total population 55-59,Total population 60-64,Total population 65-69,Total population 70-74,Total population 75-79,Total population 80+
New Zealand,NZL,313365,315316,299968,312893,327156,288381,281144,266948,322052,310206,332713,290850,251721,233896,166985,117870,164239
Afghanistan,AFG,4950250,4903273,4471809,3833084,3051662,2460206,2061977,1672963,1312233,1040130,823146,646172,496547,376381,225865,124117,76747
Antigua and Barbuda,ATG,7280,7300,7620,7926,7765,6815,6340,5303,6923,8183,5920,4571,3294,1951,1818,1335,1474
Armenia,ARM,207244,188829,158700,178800,257221,282907,253092,202068,170450,170675,234850,219792,166387,95827,51173,92663,87034
Austria,AUT,408295,400998,418016,465533,547022,561174,582356,545935,612608,719122,697318,593623,465885,435426,432162,316238,436658
Bahrain,BHR,108728,99858,87175,89371,120425,172599,174454,133490,122275,94340,71521,49682,20116,13806,8930,6243,4224
Bangladesh,BGD,15331344,15667941,16409061,16120726,15227938,14463110,13477120,11863462,9913089,8970282,7285970,5030863,3227527,2855365,2193452,1438817,1519575
Barbados,BRB,17360,18578,19103,18389,18221,17952,19170,18835,20325,19694,20793,19458,16081,13331,9667,7637,9621
Albania,ALB,185017,154976,195837,257259,271348,230233,173990,153668,172275,185918,204330,190961,155203,117787,96193,75306,68863
Algeria,DZA,4589813,3817053,2913447,3010198,3584914,3758611,3582497,3046190,2465011,2096717,1783218,1445943,1217494,798929,608991,470242,477251
Angola,AGO,4717892,3934657,3270532,2683684,2189918,1801032,1475058,1197223,943180,750807,608897,489942,380276,245801,168787,99396,64892
Arab World,ARB,49081948,43012070,38205118,35703282,35037849,34935434,32142541,27619446,22897302,18999608,15642695,12373588,9524782,6586569,4552136,3117341,2736319
Argentina,ARG,3718140,3638344,3582019,3437914,3456866,3336420,3189089,3222068,2693223,2359742,2192513,2031043,1815419,1513163,1173119,873678,1183995
Aruba,ABW,5242,6641,7167,7549,7327,5284,5709,6659,7523,8247,9309,8054,6508,4891,3313,2362,2104
Australia,AUS,1534411,1511567,1402250,1476265,1667008,1780175,1764189,1528416,1696811,1529722,1596182,1452359,1271256,1180873,846239,628216,923809
Azerbaijan,AZE,920443,611986,582566,698468,899395,951677,863678,631541,633485,613240,748051,525486,426443,130742,136280,154785,121074
"Bahamas, The",BHS,29112,27137,24929,30545,34308,32640,31644,26781,28555,26196,26252,21260,16530,12017,8217,6038,5858
Belarus,BLR,585947,496943,441922,436752,633094,792394,745609,668497,647624,621931,762273,730487,599406,376602,284432,321540,344160
Belgium,BEL,650075,648322,607756,617857,687997,710364,731337,734967,762647,807701,820995,756037,663181,614831,427637,387784,619933
Belize,BLZ,39453,37880,39271,38380,35706,31732,27537,23155,21163,17845,14835,10993,7819,5330,3495,2450,2243
Benin,BEN,1707733,1523648,1355381,1172421,1001630,843297,709637,592432,492745,406817,324396,248717,186421,135169,97650,52516,29219
Bhutan,BTN,65934,71519,70707,73708,77504,80250,76870,61951,45724,39414,28914,25365,17742,14298,10398,7109,7423
Bolivia,BOL,1185563,1160118,1133975,1081761,986220,889223,801148,696927,578573,479995,401054,341844,294905,222270,183880,128059,159190
Bosnia and Herzegovina,BIH,172490,175952,165891,220025,227157,283939,305823,269860,278293,263680,307083,287671,264073,208759,120401,129257,130062
Botswana,BWA,266262,236661,221029,219890,220640,221990,208943,171247,127295,96099,76276,63648,51099,32375,23472,15035,10524
Brazil,BRA,15032203,15407519,17422671,17464370,16669281,17399923,17815595,16287325,14320144,13192927,12344468,10099487,8086652,5971650,4185313,3061652,3086348
Brunei Darussalam,BRN,33783,30360,33648,35645,35293,38495,39370,36999,33699,29910,24308,19387,13588,8034,4566,3230,2873
Bulgaria,BGR,338355,358700,318201,319793,376571,484357,493900,525761,540376,506081,481422,500854,496052,480241,360609,276602,320118
Burkina Faso,BFA,3143912,2756975,2350195,1968659,1641965,1367268,1147382,926965,723819,582707,453949,349868,258584,189553,130754,72642,40373
Burundi,BDI,2061897,1651675,1294732,1108033,1042507,944029,753938,547103,396777,348364,300490,261332,191782,112778,76751,48038,38695
Cambodia,KHM,1771553,1660542,1490876,1573274,1636488,1281755,1690214,650558,830127,762811,687434,489520,411258,269992,181726,111170,78601
Cameroon,CMR,3737925,3294047,2894600,2510192,2222753,1930265,1588460,1231901,964323,761177,602726,475287,382206,298287,214323,134624,101083
Canada,CAN,1937553,1942383,1845824,2109696,2486960,2443721,2519274,2379792,2337935,2416668,2807020,2621214,2216115,1926840,1369143,984007,1504463
Caribbean small states,CSS,540580,550510,589496,632936,609046,569659,532397,458744,451637,434089,420916,346199,268017,200490,146267,108158,128967
Central African Republic,CAF,708095,620821,584769,535000,471477,422579,352138,274447,211521,168384,142059,121796,98260,74591,55001,34388,24948
Central Europe and the Baltics,CEB,5159959,5380075,4927097,5207504,6154205,7238106,7712848,8191284,7627950,6953443,6516925,7434058,7229378,5721296,4013926,3466927,4321807
Chad,TCD,2632347,2200281,1866101,1562293,1279003,1025706,817598,641118,496824,384520,314527,261823,211309,141258,100197,60606,41961
Channel Islands,CHI,7885,8078,8114,8722,9798,10267,11092,11541,12033,12970,12971,11536,10418,8847,6871,5250,7299
Chile,CHL,1170411,1199567,1246022,1321688,1414818,1450979,1327883,1252772,1262056,1286866,1176566,1020805,842872,639955,497154,345934,491793
China,CHN,82894021,78361443,75027687,78653141,105766142,128632571,99025813,94884947,118674078,123091919,99046593,78656378,77537213,50981612,33633950,24071576,22280918
Colombia,COL,3738278,3905293,4069625,4069760,4198230,4094029,3932682,3553127,3153883,3196292,2806500,2284850,1831334,1315374,862176,574389,642882
Comoros,COM,119289,105412,92847,82420,73575,66317,56669,45406,36209,29878,24629,19566,14231,8877,6424,3977,2748
